DATE,COMNAM,TICKER,PERMNO
1999-06-18,FEDERAL AGRICULTURAL MORT CORP,AGM,80168
1999-06-18,FEDERAL AGRICULTURAL MORT CORP,AGM,80169
2002-01-02,FEDERAL AGRICULTURAL MORT CORP,AGM,80168
2002-01-02,FEDERAL AGRICULTURAL MORT CORP,AGM,80169
2004-06-10,FEDERAL AGRICULTURAL MORT CORP,AGM,80168
2004-06-10,FEDERAL AGRICULTURAL MORT CORP,AGM,80169
2006-06-30,FEDERAL AGRICULTURAL MORT CORP,AGM,80168
2006-06-30,FEDERAL AGRICULTURAL MORT CORP,AGM,80169
2011-06-10,FEDERAL AGRICULTURAL MORT CORP,AGM,80168
2011-06-10,FEDERAL AGRICULTURAL MORT CORP,AGM,80169
2004-04-23,ASSURED GUARANTY LTD,AGO,90120
1993-05-12,CORPORACION BANCARIA DE ESPN SA,AGR,79211
1999-05-03,ARGENTARIA CAJA POSTAL,AGR,79211
2001-03-28,AGERE SYSTEMS INC,AGR,88917
2002-06-03,AGERE SYSTEMS INC,AGR,89400
2004-06-10,AGERE SYSTEMS INC,AGR,88917
2004-06-10,AGERE SYSTEMS INC,AGR,89400
2005-05-31,AGERE SYSTEMS INC,AGR,88917
2015-12-17,AVANGRID INC,AGR,15859
1994-08-22,AMERICAS GROWTH FUND INC,AGRO,80792
2011-01-28,ADECOAGRO S A,AGRO,12540
1997-11-18,SOFTWARE A G SYSTEMS INC NEW,AGS,85626
1999-05-24,SAGA SYSTEMS INC,AGS,85626
2018-01-26,PLAYAGS INC,AGS,17252
2021-04-23,AGILITI INC,AGTI,20901
1998-04-01,AGRIBRANDS INTERNATIONAL INC,AGX,85895
2007-08-22,ARGAN INC,AGX,64785
2003-12-04,AMERICAN HOME MORTGAGE INVT CORP,AHH,87358
2013-05-08,ARMADA HOFFLER PROPERTIES INC,AHH,13887
2003-12-04,ASPEN INSURANCE HOLDINGS LTD,AHL,89977
2003-08-26,ASHFORD HOSPITALITY TRUST INC,AHT,89803
2000-02-15,AMERICAN TELESOURCE INTL INC DEL,AI,87577
2001-03-29,A T S I COMMUNICATIONS INC,AI,87577
2009-06-10,ARLINGTON ASSET INVESTMENT CORP,AI,85653
2020-12-09,C3 AI INC,AI,20193
1997-11-24,ASSET INVESTORS CORP,AIC,70818
1999-05-28,ASSET INVESTORS CORP DEL,AIC,70818
2004-11-02,AAMES INVESTMENT CORP MD,AIC,90429
1992-12-23,ACCEPTANCE INSURANCE COS INC,AIF,58077
2013-02-27,APOLLO TACTICAL INCOME FD INC,AIF,13764
2001-01-02,AMERICAN INTERNATIONAL GROUP INC,AIG,66800
2002-01-02,ALBANY INTERNATIONAL CORP NEW,AIN,11731
1990-04-20,ALLSTATE MUNICIPAL INC OPP TR 3,AIO,76143
2019-10-29,ALLIANZGI ARTIFIC INT & TECH OPP,AIO,18969
2021-02-01,VIRTUS ALLIANZGI A I & T OPP FD,AIO,18969
2022-06-23,VIRTUS A I & TECH OPP FUND,AIO,18969
1997-02-03,A A R CORP,AIR,54594
2020-12-15,APARTMENT INCOME REIT CORP,AIRC,20191
1991-04-29,AMERITECH CORP,AIT,65859
2000-07-03,APPLIED INDUSTRIAL TECHS INC,AIT,29612
2022-05-02,META DATA LTD,AIU,17379
1994-07-22,APARTMENT INVESTMENT & MGMT CO,AIV,80711
2001-01-02,AMCAST INDUSTRIAL CORP,AIZ,12320
2004-02-05,ASSURANT INC,AIZ,90038
2002-01-02,GALLAGHER ARTHUR J & CO,AJG,38093
1998-01-22,STANDARD AUTOMOTIVE CORP,AJX,85775
2015-02-13,GREAT AJAX CORP,AJX,15196
2021-09-22,A K A BRANDS HOLDING CORP,AKA,21975
1994-07-07,EMBOTELLADORA ANDINA S A,AKO,80716
1997-04-07,EMBOTELLADORA ANDINA S A,AKO,84660
1997-04-07,EMBOTELLADORA ANDINA S A,AKO,84661
2002-01-02,EMBOTELLADORA ANDINA S A,AKO,84660
2002-01-02,EMBOTELLADORA ANDINA S A,AKO,84661
2004-06-10,EMBOTELLADORA ANDINA S A,AKO,84660
2004-06-10,EMBOTELLADORA ANDINA S A,AKO,84661
1998-08-13,ACADIA REALTY TRUST,AKR,79235
1998-08-03,ALCAN ALUMINUM LTD,AL,24264
2001-03-01,ALCAN INC,AL,24264
2011-04-19,AIR LEASE CORP,AL,12641
1994-03-11,ALBEMARLE CORP,ALB,80191
1991-09-04,A L C COMMUNICATIONS CORP,ALC,85033
1997-12-31,ALLTRISTA CORP,ALC,78977
2006-11-10,ASSISTED LIVING CONCEPTS INC NEW,ALC,91517
2019-04-09,ALCON INC,ALC,18481
1992-07-01,ALLIED CAPITAL COMMERCIAL CORP,ALCC,77753
2021-07-08,ALTC ACQUISITION CORP,ALCC,21619
1992-03-18,ALTA ENERGY CORP,ALE,12125
2000-09-01,ALLETE,ALE,24248
2001-05-29,ALLETE INC,ALE,24248
2004-06-10,ALEXANDER & BALDWIN INC,ALEX,11691
2012-06-07,ALEXANDER & BALDWIN HLDGS INC,ALEX,11691
2012-07-02,ALEXANDER & BALDWIN INC NEW,ALEX,13429
1995-07-28,ALAMO GROUP INC,ALG,78950
2021-07-06,ALIGHT INC,ALIT,21617
2001-08-24,ALASKA AIRGROUP INC,ALK,28804
1993-06-03,ALLSTATE CORP,ALL,79323
1995-10-03,ALLEGIANT BANCORP INC,ALLE,82469
2013-12-02,ALLEGION PLC,ALLE,14297
1994-05-10,ALLEGIANCE BANC CORP,ALLG,80502
2022-03-17,ALLEGO N V,ALLG,22975
1994-12-27,ALLIANCE GAMING CORP,ALLY,38149
2014-04-10,ALLY FINANCIAL INC,ALLY,14558
2012-03-15,ALLISON TRANSMISSION HLDGS INC,ALSN,13284
2020-02-18,ALTA EQUIPMENT GROUP LLC,ALTG,18514
1997-04-28,AUTOLIV INC,ALV,84656
1995-01-03,ALEXANDERS INC,ALX,49330
1993-12-06,A M INTERNATIONAL INC NEW,AM,80071
1998-02-11,AMERICAN GREETINGS CORP,AM,13056
2014-11-05,ANTERO MIDSTREAM PARTNERS LP,AM,15031
2019-03-13,ANTERO MIDSTREAM CORP,AM,16738
2013-05-01,AMBAC FINANCIAL GROUP INC,AMBC,13919
2021-08-05,ARDAGH METAL PACKAGING S A,AMBP,21827
1997-03-18,AMERAC ENERGY CORP,AMC,84641
1999-07-01,AMERICAN MORTGAGE ACCEPTANCE CO,AMC,87026
2013-12-18,A M C ENTERTAINMENT HOLDINGS INC,AMC,14328
1999-04-20,AMCOR LTD,AMCR,78844
2019-06-11,AMCOR PLC,AMCR,18724
1997-08-08,AMETEK INC NEW,AME,85257
1997-11-21,AFFILIATED MANAGERS GROUP INC,AMG,85593
1998-02-20,AMERUS LIFE HOLDINGS INC,AMH,84406
2000-09-05,AMERUS GROUP CO,AMH,84406
2013-08-01,AMERICAN HOMES 4 RENT,AMH,14061
2001-08-24,AMERICAN TECHNICAL CERAMICS CORP,AMK,69200
2019-07-18,ASSETMARK FINANCIAL HOLDINGS INC,AMK,18786
1996-04-17,AMERON INTERNATIONAL CORP DEL,AMN,50091
2016-10-27,A M N HEALTHCARE SERVICES INC,AMN,89215
2005-10-03,AMERIPRISE FINANCIAL INC,AMP,90880
2012-02-16,ISHARES TRUST,AMPS,13237
2021-12-10,ALTUS POWER INC,AMPS,20522
1992-07-17,AMPEX INC,AMPX,77781
2005-06-24,AMPEX CORP DEL,AMPX,77781
2022-09-15,AMPRIUS TECHNOLOGIES INC,AMPX,23352
2019-08-07,AMPLIFY ENERGY CORP,AMPY,16442
2001-08-24,A M R CORP DEL,AMR,21020
2018-02-12,ALTA MESA RESOURCES INC,AMR,16677
2021-02-04,ALPHA METALLURGICAL RES INC,AMR,18224
2010-07-22,AMERESCO INC,AMRC,10158
2018-05-07,AMNEAL PHARMACEUTICALS INC,AMRX,82702
1991-10-01,ACME CLEVELAND CORP NEW,AMT,10057
1998-06-05,AMERICAN TOWER SYSTEMS CORP,AMT,86111
1998-06-17,AMERICAN TOWER CORP,AMT,86111
2012-01-03,AMERICAN TOWER CORP NEW,AMT,86111
2018-10-24,MERCANTIL BANK HOLDING CORP,AMTB,18049
2019-06-14,AMERANT BANCORP INC,AMTB,18049
1997-03-04,AMERITRADE HOLDING CORP,AMTD,84597
2002-09-10,AMERITRADE HOLDING CORP NEW,AMTD,84597
2006-01-25,T D AMERITRADE HOLDING CORP,AMTD,84597
2022-01-31,A M T D INTERNATIONAL INC,AMTD,18887
2022-03-02,A M T D IDEA GROUP,AMTD,18887
2020-09-17,AMERICAN WELL CORP,AMWL,19657
1993-11-17,ALUMAX INC,AMX,79888
2001-02-08,AMERICA MOVIL S A DE C V,AMX,88885
2007-01-16,AMERICA MOVIL S A B DE C V,AMX,88885
1998-08-03,AMOCO CORP,AN,19553
1999-04-06,AUTONATION INC DEL,AN,76282
1995-05-03,A C T NETWORKS INC,ANET,81599
2007-04-30,AUTHORIZE NET HOLDINGS INC,ANET,83946
2014-06-06,ARISTA NETWORKS INC,ANET,14714
1996-09-26,ABERCROMBIE & FITCH CO,ANF,83976
2020-01-29,ANNOVIS BIO INC,ANVS,19149
2007-01-26,ALPINE TOTAL DYNAMIC DIVIDEND FD,AOD,91684
2018-05-07,ABERDEEN TOTAL DYNAMIC DIV FD,AOD,91684
2022-07-01,ABRDN TOTAL DYNAMIC DIVIDEND FD,AOD,91684
2021-06-17,ANGEL OAK MORTGAGE INC,AOMR,21367
2009-12-01,AON CORP,AON,61735
2012-04-02,AON PLC,AON,61735
2020-04-01,AON PLC NEW,AON,61735
1991-07-15,AORTECH INC,AORT,76878
1993-04-06,CALENDAR CAPITAL INC,AORT,76878
2022-01-24,ARTIVION INC,AORT,78876
1995-04-17,SMITH A O CORP,AOS,65402
1998-09-01,AMPCO PITTSBURGH CORP,AP,18075
2013-03-07,ARTISAN PARTNERS ASSET MGMT INC,APAM,13802
2022-02-07,A P ACQUISITION CORP,APCA,22873
2002-01-02,AIR PRODUCTS & CHEMICALS INC,APD,28222
1993-10-15,APROGENEX INC,APG,79757
1997-07-14,APOGEE INC,APG,80609
2020-04-29,A P I GROUP CORP,APG,19317
1991-11-08,AMPHENOL CORP NEW,APH,77118
1997-05-20,AMPHENOL CORP NEW,APH,84769
2015-05-18,APPLE HOSPITALITY REIT INC,APLE,15338
1998-10-06,AMERICAN COMMUNITY PPTYS TR,APO,86365
2011-03-30,APOLLO GLOBAL MANAGEMENT LLC,APO,12591
2019-09-05,APOLLO GLOBAL MANAGEMENT INC,APO,12591
2022-01-03,APOLLO GLOBAL MANAGEMENT INC NEW,APO,12591
1991-06-26,ADVANCED PROMOTION TECHS INC,APTV,76715
2017-12-05,APTIV PLC,APTV,13103
2016-11-29,ALGONQUIN POWER & UTILITIES CORP,AQN,16479
2013-10-10,ANTERO RESOURCES CORP,AR,14179
2004-02-12,AFFORDABLE RESIDENTIAL CMNTYS IN,ARC,90037
2011-01-03,AMERICAN REPROGRAPHICS CO,ARC,90548
2013-01-02,A R C DOCUMENTS SOLUTIONS INC,ARC,90548
1998-04-21,ARCH PETROLEUM INC NEW,ARCH,79760
2000-09-25,ARCH WIRELESS INC,ARCH,77265
2016-10-05,ARCH COAL INC,ARCH,16436
2020-05-15,ARCH RESOURCES INC,ARCH,16436
2011-04-14,ARCOS DORADOS HOLDINGS INC,ARCO,12684
2012-11-28,ARES DYNAMIC CREDIT ALLOC FD INC,ARDC,13679
1997-05-23,ALEXANDRIA REAL EST EQUITIES INC,ARE,84767
2014-05-02,ARES MANAGEMENT LP,ARES,14617
2018-11-26,ARES MANAGEMENT CORP,ARES,14617
2018-05-07,ARGO GROUP INTL HLDGS LTD,ARGO,11203
1990-10-23,AMERICAN RELIANCE GROUP INC,ARI,10358
1993-07-23,ARI HOLDINGS INC,ARI,10358
1996-10-04,ARDEN REALTY INC,ARI,84015
2009-09-24,APOLLO COMMERCIAL RL EST FIN INC,ARI,93014
1991-11-15,A R I NETWORK SERVICES INC,ARIS,77082
2021-10-22,ARIS WATER SOLUTIONS INC,ARIS,22096
2000-08-03,AMERICAN REALTY INVESTORS INC,ARL,49322
2018-08-03,ARLO TECHNOLOGIES INC,ARLO,18013
2013-12-12,ARAMARK HOLDINGS CORP,ARMK,14329
2014-05-13,ARAMARK,ARMK,14329
1995-12-27,AMERICAN RIVER OIL CO,AROC,53293
2015-11-04,ARCHROCK INC,AROC,92245
2009-11-09,ARMOUR RESIDENTIAL REIT INC,ARR,92477
2002-01-02,ARROW ELECTRONICS INC,ARW,29209
2001-05-01,A S A LTD,ASA,26649
2004-11-22,A S A BERMUDA LTD,ASA,26649
2007-03-02,A S A LTD,ASA,26649
2011-03-28,A S A GOLD & PRECIOUS METALS LTD,ASA,26649
1997-01-02,ASA HOLDINGS LTD,ASAI,15684
2021-03-08,SENDAS DISTRIBUIDORA S A,ASAI,20728
2020-09-30,ASANA INC,ASAN,19746
2006-05-15,ASCENDIA BRANDS INC,ASB,90159
2008-10-16,ADVANSOURCE BIOMATERIALS CORP,ASB,83592
2014-12-23,ASSOCIATED BANC CORP,ASB,15318
2013-08-01,ARDMORE SHIPPING CORP,ASC,14092
1995-11-07,LIBERTY ALL STAR GROWTH FD INC,ASG,68929
2020-07-29,ABERDEEN STD GLOBAL INFRA INC FD,ASGI,19507
2022-07-01,ABRDN GLOBAL INFRA INCOME FUND,ASGI,19507
1992-09-22,ON ASSIGNMENT INC,ASGN,77917
2018-04-02,ASGN INC,ASGN,77917
1995-01-30,ASHLAND INC,ASH,24272
2005-07-01,ASHLAND INC NEW,ASH,24272
2016-09-20,ASHLAND GLOBAL HOLDINGS INC,ASH,24272
2022-08-01,ASHLAND INC 2022,ASH,24272
1992-04-08,ASSIX INTERNATIONAL INC,ASIX,12120
2016-10-03,ADVANSIX INC,ASIX,16276
2014-06-13,ASPEN AEROGELS INC,ASPN,14715
1992-06-23,A S R INVESTMENTS CORP,ASR,75114
2000-09-28,GRUPO AEROPORTUARIO DEL SUR S A,ASR,88593
1996-05-23,AMERICAN STATES FINANCIAL CORP,ASX,83439
2000-09-26,ADVANCED SEMICONDUCTOR ENGR INC,ASX,88586
2000-10-02,ADVANCED SEMICONDUCTOR ENGR INC,ASX,88659
2018-04-18,A S E INDUSTRIAL HLDG CO LTD,ASX,88659
2018-06-22,A S E TECHNOLOGY HLDG CO LTD,ASX,88659
1999-07-07,AMERICAN TECHNOLOGY CORP,ATCO,87053
2020-02-28,ATLAS CORP,ATCO,90853
1997-07-31,AT ENTERTAINMENT INC,ATEN,85159
2014-03-21,A10 NETWORKS INC,ATEN,14495
2017-05-24,ADTALEM GLOBAL EDUCATION INC,ATGE,76708
1995-08-14,ADVANCED THERAPEUTIC SYS LTD,ATH,81911
2001-10-30,ANTHEM INC,ATH,89179
2016-12-09,ATHENE HOLDING LTD,ATH,16496
1997-07-11,AT HOME CORP,ATHM,85160
2013-12-11,AUTOHOME INC,ATHM,14332
1994-04-06,AIRTOUCH COMMUNICATIONS,ATI,80094
1999-11-30,ALLEGHENY TECHNOLOGIES,ATI,43123
2022-07-12,A T I INC,ATI,43123
2021-06-17,A T I PHYSICAL THERAPY INC,ATIP,19892
2016-06-10,ATKORE INTERNATIONAL GROUP INC,ATKR,16119
2021-02-16,ATKORE INC,ATKR,16119
2001-08-24,ATMOS ENERGY CORP,ATO,32986
1993-04-23,APTARGROUP INC,ATR,79133
1995-08-01,AIR CURE TECHNOLOGIES INC,ATS,76543
1996-12-17,A P T SATELLITE HOLDINGS LTD,ATS,84358
2017-06-22,ALTICE USA INC,ATUS,16753
1998-08-05,ANGLOGOLD LTD,AU,86341
2004-04-26,ANGLOGOLD ASHANTI LTD,AU,86341
2019-05-20,ATLANTIC UNION BANKSHARES CORP,AUB,79747
1999-01-04,AVISTA CORP,AVA,24969
1998-06-05,AVALON BAY COMMUNITIES INC,AVB,80381
1998-10-05,AVALONBAY COMMUNITIES INC,AVB,80381
1998-01-27,AMERICAN VANGUARD CORP,AVD,11144
2003-04-30,ADVENT CLAYMORE CONV SECS INC FD,AVK,89726
2019-07-03,ADVENT CONVERTIBLE & INCOME FD,AVK,89726
2018-07-02,AVANOS MEDICAL INC,AVNS,14941
1995-11-29,AVANT CORP,AVNT,81683
2020-07-13,AVIENT CORP,AVNT,88597
1992-11-02,AVATAR HOLDINGS INC,AVTR,16030
2019-05-17,AVANTOR INC,AVTR,18579
1990-10-15,AVERY DENNISON CORP,AVY,44601
1993-07-27,ALLIANCE WORLD DOLLAR GOVT FD II,AWF,79461
2007-01-29,ALLIANCEBERNSTEIN GLBL HIGH INC,AWF,79461
2006-10-18,ARMSTRONG WORLD INDS INC NEW,AWI,91516
2002-01-02,AMERICAN WATER WORKS INC,AWK,23544
2008-04-23,AMERICAN WATER WORKS CO INC,AWK,92614
2007-04-26,ALPINE GLOBAL PREMIER PPTYS FUND,AWP,91914
2018-05-07,ABERDEEN GLOBAL PREMIER PROP FD,AWP,91914
2022-07-01,ABRDN GLOBAL PREMIER PROP FUND,AWP,91914
1998-07-01,AMERICAN STATES WATER CO,AWR,71475
1995-06-14,AMERICAN EXPLORATION CO,AX,12811
2001-06-25,ASIA GLOBAL CROSSING LTD,AX,88717
2018-10-01,AXOS FINANCIAL INC,AX,90634
1999-01-29,AMERICAN AXLE & MFG HLGDS INC,AXL,86547
1999-06-01,AMERICAN EXPRESS CO,AXP,59176
1998-09-01,AMREP CORP,AXR,38746
2003-07-01,AXIS CAPITAL HOLDINGS LTD,AXS,89789
2014-11-12,AXALTA COATING SYSTEMS LTD,AXTA,15053
2001-11-14,ACUITY BRANDS INC,AYI,89216
2017-03-24,ALTERYX INC,AYX,16597
2020-06-12,THE AZEK COMPANY INC,AZEK,19409
1991-04-02,AUTOZONE INC,AZO,76605
1997-03-20,AZTEC MANUFACTURING CO,AZZ,16126
2000-08-14,A Z Z INC,AZZ,16126
2001-01-02,BARNES GROUP INC,B,39693
2002-01-02,BOEING CO,BA,19561
2014-09-19,ALIBABA GROUP HOLDING LTD,BABA,14888
1998-10-01,BANKAMERICA CORP NEW,BAC,59408
1999-04-29,BANK OF AMERICA CORP,BAC,59408
2010-11-17,BOOZ ALLEN HAMILTON HOLDING CORP,BAH,12366
1993-03-15,CLINICORP INC,BAK,77260
2022-05-10,BALL CORP,BALL,57568
2020-11-09,BALLYS CORP,BALY,18425
2005-10-05,BRASCAN CORP,BAM,85259
2005-11-15,BROOKFIELD ASSET MANAGEMENT INC,BAM,85259
2022-12-12,BROOKFIELD ASSET MANAGEMENT LTD,BAM,23569
1994-07-14,BANKATLANTIC BANCORP INC,BANC,15617
2011-10-03,FIRST PACTRUST BANCORP INC,BANC,89482
2013-07-16,BANC OF CALIFORNIA INC,BANC,89482
1995-10-25,CREDICORP LTD,BAP,82311
2021-06-02,ORIGINAL BARK CO,BARK,20238
2021-11-23,BARK INC,BARK,20238
1998-09-01,BAXTER INTERNATIONAL INC,BAX,27887
1996-06-19,BANCO BHIF,BB,83590
1999-10-01,B B V BANCO BHIF,BB,83590
2000-11-08,B B V A BANCO BHIF,BB,83590
2004-04-06,BANCO BILBAO VIZCAYA ARGENT CHIL,BB,83590
2017-10-16,BLACKBERRY LTD,BB,86745
2021-12-08,BIGBEAR AI HOLDINGS INC,BBAI,21053
1998-06-02,BALANCE BAR CO,BBAR,86149
2019-06-17,BBVA BANCO FRANCES SA,BBAR,79895
2019-11-08,BANCO BBVA ARGENTINA SA,BBAR,79895
1996-11-27,BRANTLEY CAPITAL CORP,BBDC,84193
2018-08-03,BARINGS B D C INC,BBDC,91834
2012-03-13,BANCO BRADESCO S A,BBDO,13286
1995-11-27,B B N CORP,BBN,51393
2010-08-27,BLACKROCK BUILD AMERICA BOND TR,BBN,12039
2015-08-25,BLACKROCK TAXABLE MUNI BOND TR,BBN,12039
2016-06-20,BROOKFIELD BUSINESS PARTNERS LP,BBU,16071
1996-06-13,MICHIGAN BREWERY INC,BBUC,83624
1997-10-10,BIG BUCK BREWERY AND STEAKHS INC,BBUC,83624
2022-03-15,BROOKFIELD BUSINESS CORP,BBUC,22925
2009-12-14,BANCO BILBAO VIZCAYA ARGENTARIA,BBVA,75381
2004-10-28,BUILD A BEAR WORKSHOP INC,BBW,90371
2021-08-03,BATH & BODY WORKS INC,BBWI,64282
2001-08-24,BEST BUY COMPANY INC,BBY,85914
2002-01-02,BRUNSWICK CORP,BC,10874
2020-09-25,BLACKROCK CAPITAL ALLOCATION TR,BCAT,19747
2002-01-02,BOISE CASCADE CORP,BCC,42024
2013-02-06,BOISE CASCADE CO,BCC,13766
1999-06-01,B C E INC,BCE,29647
1994-12-20,BANCO CENTRAL HISPANOAMERICANO,BCH,65146
2002-01-08,BANCO DE CHILE,BCH,89284
2003-05-05,BRINKS CO,BCO,18649
2001-08-24,BARCLAYS PLC,BCS,69761
2018-11-15,BAIN CAPITAL SPECIALTY FIN INC,BCSF,18222
1996-09-10,B C E MOBILE COMMUNICATIONS INC,BCX,84002
2011-03-29,BLACKROCK RESOUR & COMM STRAT TR,BCX,12593
2004-07-16,BELDEN C D T INC,BDC,79668
2007-05-25,BELDEN INC NEW,BDC,79668
1990-09-21,AMERICAN ADJUSTABLE RT TM TR 96,BDJ,76283
2005-08-26,BLACKROCK ENHANCED DIV ACHVRS TR,BDJ,90827
2011-05-09,BLACKROCK ENHANCED EQUITY DIV TR,BDJ,90827
1993-06-21,BRANDYWINE REALTY TRUST,BDN,70121
